Область,Індекс та номер дороги,Код КОАТУУ області,Довжина (протяжність) дороги (км),Найменування дороги,Найменша ширина земляного полотна (м),"Територіальний статус (обласна, районна)"
Вінницька,О022001,0500000000,40.076,Тростянчик-Теплик (через Глибочок),4.5,обласна
Вінницька,О022002,0500000000,22.6,Капустяни-Ободівка,10.0,обласна
Вінницька,О022003,0500000000,71.348,Савинці-Вільшанка-Велика Кісниця,6.0,обласна
Вінницька,О022004,0500000000,29.2,Тростянець-Торканівка,4.5,обласна
Вінницька,О022101,0500000000,28.867,Тульчин-Маньківка-Ладижин,10.0,обласна
Вінницька,О022102,0500000000,29.96,Тульчин-Тиманівка-Марківка,9.0,обласна
Вінницька,О022103,0500000000,31.69,Тульчин-Клебань-Ладижин,10.0,обласна
Вінницька,О022104,0500000000,12.1,Тульчин-Зарічне-Тарасівка,10.0,обласна
Вінницька,О022105,0500000000,82.945,Торків-Брацлав-Ситківці-Леухи-станція Монастирище,4.3,обласна
Вінницька,О022106,0500000000,1.4,Завалля-Нестерварка,12.0,обласна
Вінницька,О022107,0500000000,2.5,Нестрерварка-Кинашів,12.0,обласна
Вінницька,О022108,0500000000,5.8,Мазурівка-Тульчин,12.0,обласна
Вінницька,О022109,0500000000,20.039,Печера-Нестерварка,10.0,обласна
Вінницька,О022110,0500000000,16.2,(Т-02-12)-Юрківка-Калинівка,10.0,обласна
Вінницька,О022111,0500000000,19.01,Шпиків-Сліди-Нове Місто,10.0,обласна
Вінницька,О022112,0500000000,24.381,Шпиків-Тульчин,10.0,обласна
Вінницька,О022201,0500000000,15.416,Тиврів-Канава,8.2,обласна
Вінницька,О022205,0500000000,14.26,Нове-Місто-Деребчин,8.0,обласна
Вінницька,О022206,0500000000,36.85,Онитківці-Красне-Грижинці,4.5,обласна
Вінницька,О022207,0500000000,15.173,Рахни Польові-Бушинка-межа району,10.0,обласна
Вінницька,О022301,0500000000,67.081,Стара Гута-Калинівка-Турбів,8.9,обласна
Вінницька,О022302,0500000000,40.727,Петриківці-Колибабинці-Уладівка-Іванів,4.0,обласна
Вінницька,О022303,0500000000,62.932,Границя Хмельницької області-Слобода Кустовецька,8.0,обласна
Вінницька,О022304,0500000000,32.216,Куманівці-Уладівка,10.0,обласна
Вінницька,О022305,0500000000,8.412,Хмільник-Війтівці,11.0,обласна
Вінницька,О022306,0500000000,16.235,Хмільник-Лозова-Гулі,6.0,обласна
Вінницька,О022307,0500000000,49.799,Рогинці-Корделівка-Дружне в т.ч. підїзд до с.Антонопіль,10.0,обласна
Вінницька,О022402,0500000000,24.314,Бабчинці-Воєводчинці,10.0,обласна
Вінницька,О022403,0500000000,16.11,Чернівці-Букатинка,9.0,обласна
Вінницька,О022404,0500000000,15.627,Тропове-Біляни-Березівка,3.5,обласна
Вінницька,О022501,0500000000,15.42,Чечельник-Кодима,10.0,обласна
Вінницька,О022502,0500000000,8.44,Чечельник-Стратіївка,8.0,обласна
Вінницька,О022503,0500000000,7.89,Чечельник-Білий Камінь,10.0,обласна
Вінницька,О022601,0500000000,9.0,Шаргород-Конищів,8.5,обласна
Вінницька,О022602,0500000000,13.93,Шаргород-Перепільчинці,10.0,обласна
Вінницька,О022605,0500000000,50.9,Слобода Шаргородська-Тропове-Яришів,8.5,обласна
Вінницька,О022606,0500000000,39.892,Мурафа-Деребчин-Томашпіль,8.7,обласна
Вінницька,О022607,0500000000,57.21,Мурафа-Моївка-Клембівка,8.0,обласна
Вінницька,О022608,0500000000,7.1,Джурин-Рожнятівка,10.0,обласна
Вінницька,О022703,0500000000,41.9,Качківка-Дзигівка-Михайлівка,10.0,обласна
Вінницька,С020101,0500000000,2.0,/Бар-Шаргород-Нові Хоменки/-цукровий завод,10.0,районна
Вінницька,С020102,0500000000,1.0,/Бар-Сеферівка/-Йосипівці,8.0,районна
Вінницька,С020103,0500000000,13.2,Чемериси Барські-Козарівка,10.0,районна
Вінницька,С020104,0500000000,1.0,/Чемериси Барські-Козарівка/-Шершні,10.0,районна
Вінницька,С020105,0500000000,1.6,/Чемериси Барські-Козарівка/-Діброва,10.0,районна
Вінницька,С020106,0500000000,3.5,Гайове-Шпирки-Івановецьке,10.0,районна
Вінницька,С020107,0500000000,1.583,/Бар-Гармаки/-Колосівка,10.0,районна
Вінницька,С020108,0500000000,3.14,Ходаки-Слобода Ходацька,8.5,районна
Вінницька,С020109,0500000000,2.2,Лядова-Пилипи,10.0,районна
Вінницька,С020110,0500000000,4.4,Маньківці-Ульянівка,13.0,районна
Вінницька,С020112,0500000000,15.64,Терешки-Кузьминці-Мартинівка,6.0,районна
Вінницька,С020113,0500000000,2.605,Сеферівка-Пилипи,10.0,районна
Вінницька,С020114,0500000000,1.18,Верхівка-Примощаниця,10.0,районна
Вінницька,С020115,0500000000,0.64,/гр.Хмельницької обл.-Ялтушків/-Черешневе,8.0,районна
Вінницька,С020116,0500000000,3.1,Лука Барська-Зоряне,8.0,районна
Вінницька,С020117,0500000000,4.8,Іванівці-Шевченка,8.0,районна
Вінницька,С020118,0500000000,1.8,Окладне-Адамівка,12.0,районна
Вінницька,С020119,0500000000,2.75,Ялтушків-Біличин,10.0,районна
Вінницька,С020120,0500000000,2.97,Пляцина-Мирне,10.0,районна
Вінницька,С020121,0500000000,3.2,Каноницьке-Затоки,10.0,районна
Вінницька,С020122,0500000000,6.4,Мальчинці-Степанки,8.0,районна
Вінницька,С020123,0500000000,4.0,/Бар-Шаргород-Нові Хоменки/-Киянівка,8.0,районна
Вінницька,С020124,0500000000,5.7,Матейків-Павлівка-Трудолюбівка,10.0,районна
Вінницька,С020125,0500000000,2.45,/Бар-Шаргород-Нові Хоменки/-Кошаринці,8.0,районна
Вінницька,С020126,0500000000,3.9,Шипинки-Шевченкове,10.0,районна
Вінницька,С020127,0500000000,1.0,/Житомир - Могилів-Подільський/-Переліски,10.0,районна
Вінницька,С020128,0500000000,2.5,Бар-Гармаки-Гайове,13.0,районна
Вінницька,С020129,0500000000,23.572,Верхівка-Ялтушків-Ходаки,9.0,районна
Вінницька,С020130,0500000000,3.55,Лядова-Підлісний Ялтушків,10.0,районна
Вінницька,С020131,0500000000,8.9,Буцні-Кузьминці-Митки,10.0,районна
Вінницька,С020132,0500000000,4.368,Стасюки-Чемериське,8.0,районна
Вінницька,С020133,0500000000,1.9,Пляцина-Войнашівка,10.0,районна
Вінницька,С020134,0500000000,3.4,/Бар-Шаргород-Нові Хоменки/-Мальчивці,11.0,районна
Вінницька,С020135,0500000000,12.859,Митки-Матейків-Мурашка,7.5,районна
Вінницька,С020136,0500000000,4.47,Шипинки-Попівці,10.0,районна
Вінницька,С020137,0500000000,12.32,Шипинки-станція Копай-Марянівка,7.0,районна
Вінницька,С020138,0500000000,1.5,Копай-Зелене,10.0,районна
Вінницька,С020139,0500000000,4.75,Мар'янівка-Володіївці,8.0,районна
Вінницька,С020140,0500000000,17.795,Копайгород - Грабівці - Каришків,8.5,районна
Вінницька,С020141,0500000000,18.8,Копайгород-Польове-Супівка-Губачівка,10.0,районна
Вінницька,С020142,0500000000,0.9,(Бар-Гармаки)-(Бар-Комарівці),12.0,районна
Вінницька,С020201,0500000000,1.756,/Флорине-Голдашівка/-Романівка,10.0,районна
Вінницька,С020202,0500000000,4.384,/Краснопілка-Теплик-Бершадь-Саврань-Дубинове/-Хмарівка,10.0,районна
Вінницька,С020203,0500000000,2.572,/Тульчин-Тростянець-Бершадь/-Бирлівка,9.0,районна
Вінницька,С020204,0500000000,3.413,Баланівка-Пятківка,10.0,районна
Вінницька,С020205,0500000000,2.48,Шляхова-Завітне,10.0,районна
Вінницька,С020206,0500000000,5.88,Війтівка-Жовняки,8.0,районна
Вінницька,С020207,0500000000,2.547,/Могилів-Подільський-Ямпіль-Бершадь-Умань/-хутір Ворони,10.0,районна
Вінницька,С020208,0500000000,8.84,Устя-Лугова,10.0,районна
Вінницька,С020209,0500000000,1.69,/Шумилів-Жданове/-Мала Киріївка,10.0,районна
Вінницька,С020210,0500000000,6.8,Берізки Бершадські-станція Устя,10.0,районна
Вінницька,С020211,0500000000,3.123,/Кидрасівка-Осіївка/-хутір Партизанський,8.0,районна
Вінницька,С020212,0500000000,3.019,Мишарівка-М`якохід,6.0,районна
Вінницька,С020213,0500000000,6.375,П`ятківка-Сільськогосподарське підприємство,8.0,районна
Вінницька,С020214,0500000000,1.94,(Флорине-Голдашівка)-Михайлівка,10.0,районна
Вінницька,С020215,0500000000,11.995,М'якохід-Джулинка,10.0,районна
Вінницька,С020216,0500000000,22.54,Чернятка-Завітне-Серебрія,10.0,районна
Вінницька,С020217,0500000000,16.363,Сумівка-Війтівка-Велика Киріївка,10.0,районна
Вінницька,С020218,0500000000,7.44,(Флорине-Голдашівка)-Лісниче-Вовчок,8.0,районна
Вінницька,С020219,0500000000,11.612,Кидрасівка-Осіївка,10.0,районна
Вінницька,С020220,0500000000,25.034,Шумилів-Устя-Осіївка-Жданове,4.5,районна
Вінницька,С020221,0500000000,10.012,(Чернятка-Серебрія)-Кавкули ч/з Шляхову,10.0,районна
Вінницька,С020301,0500000000,1.261,/Бруслинів-Стрижавка/-Переорки,11.6,районна
Вінницька,С020303,0500000000,3.865,/Стрижавка-Мізяків-Гущинці/-Тютюнники,10.0,районна
Вінницька,С020304,0500000000,3.114,/Вінниця-Гнівань-Тиврів/-Рівець,10.0,районна
Вінницька,С020305,0500000000,2.219,/Стрижавка-Стадниця-Писарівка/-Славне,10.0,районна
Вінницька,С020306,0500000000,2.0,/Вінниця-Гнівань-Тиврів/-Прибузьке,10.0,районна
Вінницька,С020307,0500000000,6.3,Щітки-Хижинці,10.0,районна
Вінницька,С020308,0500000000,1.6,/Сокиринці-Лука Мелешківська/-Майдан Чапельський,10.0,районна
Вінницька,С020309,0500000000,10.44,Іванівка-Хижинці,8.8,районна
Вінницька,С020310,0500000000,2.93,/Вороновиця-Тиврів-Шаргород/-хутір Дальній,8.8,районна
Вінницька,С020311,0500000000,2.86,(Cтрий-Тернопіль-Кропивницький-Знам'янка)-Лисогора,10.0,районна
Вінницька,С020313,0500000000,10.72,Кордишівка-Побережне,7.5,районна
Вінницька,С020314,0500000000,2.6,Махнівка -Лисянка,10.0,районна
Вінницька,С020315,0500000000,1.085,(Cтрий-Тернопіль-Кропивницький-Знам'янка)-Якушинці,7.5,районна
Вінницька,С020316,0500000000,8.743,Медвеже Вушко-Бохоники,8.0,районна
Вінницька,С020317,0500000000,1.975,/Стрижавка-Мізяків-Гущинці/-Лаврівка,8.5,районна
Вінницька,С020318,0500000000,21.7,Ксаверівка-Некрасове-Горбанівка,10.0,районна
Вінницька,С020319,0500000000,3.76,Дорожне-Медвідка,10.0,районна
Вінницька,С020320,0500000000,3.152,(Виступовичі-Житомир-Могилів-Подільський)-Широка Гребля,10.0,районна
Вінницька,С020321,0500000000,24.696,Стрижавка-Стадниця-Писарівка,8.0,районна
Вінницька,С020322,0500000000,13.5,Стадниця-Малі Крушлинці-Гуменне,9.0,районна
Вінницька,С020323,0500000000,3.278,Гавришівка-Малі Крушлинці,10.0,районна
Вінницька,С020324,0500000000,2.585,(Cтрий-Тернопіль-Кропивницький-Знам'янка)-Вінницькі Хутори-І,12.0,районна
Вінницька,С020325,0500000000,1.98,(Cтрий-Тернопіль-Кропивницький-Знам'янка)-Вінницькі Хутори-II,10.0,районна
Вінницька,С020326,0500000000,3.83,Писарівка-Сокиринці,10.0,районна
Вінницька,С020327,0500000000,12.23,Сокиринці-Лука Мелешківська,7.7,районна
Вінницька,С020328,0500000000,0.5,(Сокиринці-Лука Мелешківська)-Парпурівці,10.0,районна
Вінницька,С020329,0500000000,2.0,(Вінниця-Шпиків-Комаргород)-Іванівка,10.0,районна
Вінницька,С020330,0500000000,12.2,Жабелівка-Степанівка,8.5,районна
Вінницька,С020331,0500000000,5.1,Олександрівка-Жабелівка,8.2,районна
Вінницька,С020332,0500000000,5.4,Комарів-Вороновиця,10.0,районна
Вінницька,С020333,0500000000,2.0,Пултівці-Махнівка,10.0,районна
Вінницька,С020401,0500000000,5.303,Гранів-Леухи,5.0,районна
Вінницька,С020402,0500000000,5.048,/Митлинці-Шура Мітлинецька/-Хутір Карбівський,6.0,районна
Вінницька,С020403,0500000000,5.35,(Cтрий-Тернопіль-Кропивницький-Знам'янка)-Рахнівка-Чечелівка,9.0,районна
Вінницька,С020404,0500000000,5.173,Тишківка-Митків,10.0,районна
Вінницька,С020405,0500000000,2.015,Тишківка-Тишківська Слобода,9.0,районна
Вінницька,С020406,0500000000,3.741,(Вінниця-Турбів-Гайсин-Балта-Велика Михайлівка)-Рахни,4.0,районна
Вінницька,С020407,0500000000,4.8,Гунча-Адамівка,8.0,районна
Вінницька,С020408,0500000000,1.616,Гайсин-Кочурів,11.0,районна
Вінницька,С020409,0500000000,2.9,Карбівка-Заріччя,9.0,районна
Вінницька,С020410,0500000000,1.994,(Марянівка-Губник)-Тимар,10.0,районна
Вінницька,С020411,0500000000,3.364,станція Зятківці-Розівка,10.0,районна
Вінницька,С020412,0500000000,4.737,(Марянівка-Губник)-Новоселівка,9.0,районна
Вінницька,С020413,0500000000,4.913,Марянівка-Крутогорб,10.0,районна
Вінницька,С020414,0500000000,11.811,Ярмолинці-Кузьминці-Щурівці,8.0,районна
Вінницька,С020415,0500000000,4.101,Ярмолинці-Басаличівка,10.0,районна
Вінницька,С020416,0500000000,1.2,(Вінниця-Турбів-Гайсин-Балта-Велика Михайлівка)-Дмитренки,10.0,районна
Вінницька,С020417,0500000000,1.734,/Гайсин-Теплик/-Гнатівка,7.0,районна
Вінницька,С020418,0500000000,7.366,Зятківці-Бур'яни,10.0,районна
Вінницька,С020419,0500000000,1.93,/Гайсин-Теплик/-Мелешків,10.0,районна
Вінницька,С020420,0500000000,1.075,(Cтрий-Тернопіль-Кропивницький-Знам'янка)-Косанове,10.0,районна
Вінницька,С020421,0500000000,10.12,(Cтрий-Тернопіль-Кропивницький-Знам'янка)-Трубочка-Мітлинці,10.0,районна
Вінницька,С020422,0500000000,5.45,(Cтрий-Тернопіль-Кропивницький-Знам'янка) - Мітлинці,10.0,районна
Вінницька,С020423,0500000000,5.666,(Cтрий-Тернопіль-Кропивницький-Знам'янка) - Михайлівка,7.0,районна
Вінницька,С020424,0500000000,4.431,Степове-Митків,10.0,районна
Вінницька,С020425,0500000000,11.3,(Cтрий-Тернопіль-Кропивницький-Знам'янка) - Кузьминці-Павлівка,10.0,районна
Вінницька,С020426,0500000000,2.963,(Вінниця-Турбів-Гайсин-Балта-Велика Михайлівка)-Семирічка,9.0,районна
Вінницька,С020427,0500000000,4.219,Жерденівка-станція Зятківці,10.0,районна
Вінницька,С020428,0500000000,4.993,(Гайсин-Теплик)-Грузьке,10.0,районна
Вінницька,С020501,0500000000,2.153,Іллінці-Райки,10.0,районна
Вінницька,С020502,0500000000,6.682,Іллінці-Лиса Гора,10.0,районна
Вінницька,С020503,0500000000,2.795,Під'їзд до с.Володимирівка,10.0,районна
Вінницька,С020504,0500000000,3.765,Бабин-Синарна,10.0,районна
Вінницька,С020505,0500000000,2.995,Привільне-Білки,10.0,районна
Вінницька,С020506,0500000000,1.895,Іванівка-Олексіївка,10.0,районна
Вінницька,С020507,0500000000,2.415,Криштопівка-Хутір Криштопівський,10.0,районна
Вінницька,С020508,0500000000,1.612,Криштопівка-станція Криштопівка,10.0,районна
Вінницька,С020509,0500000000,4.42,Тягун-Синарна-(Вірне),6.0,районна
