Область,Індекс та номер дороги,Код КОАТУУ області,Довжина (протяжність) дороги (км),Найменування дороги,Найменша ширина земляного полотна (м),"Територіальний статус (обласна, районна)"
Львівська,С142039,4600000000,2.4,"Середній Горб-Лозина, км 0+000-2+400",10.0,районна
Львівська,С142040,4600000000,2.6,"Великі Гори-Буда, км 0+000-2+600",10.0,районна
Львівська,С142041,4600000000,5.2,"Ясниська-Рокитне, км 0+000-5+200",10.0,районна
Львівська,С142042,4600000000,4.9,"Лелехівка-Івано-Франкове, км 0+000-4+900",10.0,районна
Львівська,С142043,4600000000,0.8,"(Львів-Краковець)-Солуки, км 0+000-0+800",10.0,районна
Львівська,С142044,4600000000,1.4,"Солуки-Паланки, км 0+000-1+400",10.0,районна
Львівська,С142045,4600000000,1.9,Добростани-Кертинів,10.0,районна
Львівська,С142046,4600000000,2.5,Ципівки-Новини,10.0,районна
Львівська,С142047,4600000000,1.5,Мельники-Колодки,10.0,районна
Львівська,С142048,4600000000,1.1,Дернаки-(Рава-Руська-Судова Вишня),10.0,районна
Львівська,С142049,4600000000,1.6,Принада-Середкевичі,10.0,районна
Львівська,С142050,4600000000,3.2,Грушів-(Грушів-Немирів),10.0,районна
Миколаївська,О150101,4800000000,23.6,"Арбузинка-залізн.ст.Трикратне
км 0+000 - км 18+106",,обласна
Миколаївська,О150102,4800000000,8.1,Новокрасне-залізн.ст.Людмилівка,,обласна
Миколаївська,О150103,4800000000,27.5,Арбузинка-Новокрасне-Рябоконеве,,обласна
Миколаївська,О150104,4800000000,26.9,Новогригорівка-Садове-залізн.ст.Кавуни,,обласна
Миколаївська,О150105,4800000000,1.2,((Н-24)-Арбузинка-Єланець-Нова Одеса)-залізн.ст.Кавуни,,обласна
Миколаївська,О150106,4800000000,3.9,(Благовіщенське-Миколаїв)-Іванівка,,обласна
Миколаївська,О150107,4800000000,12.2,(Благовіщенське-Миколаїв)-Семенівка-Остапівка,,обласна
Миколаївська,О150108,4800000000,3.0,(Благовіщенське-Миколаїв)-Костянтинівка,,обласна
Миколаївська,О150109,4800000000,1.6,(Благовіщенське-Миколаїв)-Благодатне,,обласна
Миколаївська,О150201,4800000000,34.8,Лук’янівка-Привільне-залізн.ст.Новополтавка,,обласна
Миколаївська,О150202,4800000000,26.6,Баштанка-Привільне-Новоукраїнка,,обласна
Миколаївська,О150203,4800000000,22.4,(Олександрівка-Миколаїв)-Кашперо-Миколаївка-Привільне,,обласна
Миколаївська,О150204,4800000000,28.8,Піски-Баштанка-Новопавлівка,,обласна
Миколаївська,О150205,4800000000,0.3,(Баштанка-Березнегувате)-залізн.ст.Явкине,,обласна
Миколаївська,О150206,4800000000,5.8,Під'їзд до м.Баштанки,,обласна
Миколаївська,О150207,4800000000,12.7,Баштанка-Новосергіївка,,обласна
Миколаївська,О150208,4800000000,11.7,(Олександрівка-Миколаїв)-Інгулка-Виноградівка,,обласна
Миколаївська,О150209,4800000000,15.4,(Олександрівка-Миколаїв)-Костичі-Інгулка,,обласна
Миколаївська,О150210,4800000000,9.0,(Дніпро-Миколаїв)-Христофорівка,,обласна
Миколаївська,О150211,4800000000,15.9,(Дніпро-Миколаїв)-Новоолександрівка,,обласна
Миколаївська,О150212,4800000000,1.3,(Піски-Новопавлівка)-Плющівка,,обласна
Миколаївська,О150213,4800000000,13.1,(Піски-Новопавлівка)-Київське,,обласна
Миколаївська,О150214,4800000000,36.6,Баштанка-Березнегувате,,обласна
Миколаївська,О150301,4800000000,2.8,(Широколанівка-Березанка)-Березанка ІІ,,обласна
Миколаївська,О150302,4800000000,18.4,(Одеса-Новоазовськ)-Андрієво-Зоринська пристань,,обласна
Миколаївська,О150303,4800000000,37.0,Прогресівка-Краснопілля-(Одеса-Новоазовськ),,обласна
Миколаївська,О150304,4800000000,11.1,(Прогресівка-(Одеса-Новоазовськ))-Анатолівка,,обласна
Миколаївська,О150305,4800000000,5.2,(Прогресівка-(Одеса-Новоазовськ))-Березанка,,обласна
Миколаївська,О150306,4800000000,8.7,(Одеса-Новоазовськ)-Матіясове,,обласна
Миколаївська,О150307,4800000000,10.5,(Одеса-Новоазовськ)-Данилівка,,обласна
Миколаївська,О150308,4800000000,1.8,(Одеса-Новоазовськ)-Калинівка,,обласна
Миколаївська,О150309,4800000000,1.5,(Одеса-Новоазовськ)-Новофедорівка ,,обласна
Миколаївська,О150310,4800000000,8.7,(Одеса-Новоазовськ)- Українка,,обласна
Миколаївська,О150312,4800000000,21.9,(Одеса-Новоазовськ)-Лимани-Вікторівка,,обласна
Миколаївська,О150313,4800000000,9.4,"Коблеве-база відпочинку ""Морська""",,обласна
Миколаївська,О150314,4800000000,4.3,Під'їзд до смт Березанка,,обласна
Миколаївська,О150315,4800000000,1.5,"(Федорівка - зона відпочинку ""Лугове"") - зона відпочинку ""Рибаківка""",,обласна
Миколаївська,О150401,4800000000,30.6,Червоний Став-Маліївка-(Казанка-(Р-47)),,обласна
Миколаївська,О150402,4800000000,8.5,Маліївка-Новоочаків,,обласна
Миколаївська,О150403,4800000000,22.8,Березнегувате-Давидів Брід,,обласна
Миколаївська,О150404,4800000000,18.7,Петрівське-Лепетиха-залізн.ст.Березнегувате,,обласна
Миколаївська,О150405,4800000000,21.7,Сергіївка-Озерівка-Новоолександрівка,,обласна
Миколаївська,О150406,4800000000,5.6,(Казанка-(Р-47))-Федорівка,,обласна
Миколаївська,О150407,4800000000,5.1,(Казанка-(Р-47))-Калуга,,обласна
Миколаївська,О150408,4800000000,1.7,(Казанка-(Р-47))-Новоукраїнка,,обласна
Миколаївська,О150409,4800000000,11.2,(Казанка-(Р-47))-Веселий Кут,,обласна
Миколаївська,О150410,4800000000,1.2,(Березнегувате-Давидів Брід)-Біла Криниця,,обласна
Миколаївська,О150411,4800000000,5.0,(Червоний Став-(Казанка-(Р-47)))-Новосергіївка,,обласна
Миколаївська,О150412,4800000000,13.7,Березнегувате-Висунськ,,обласна
Миколаївська,О150501,4800000000,8.5,Братське-Українець,,обласна
Миколаївська,О150502,4800000000,25.1,Братське-Григорівка,,обласна
Миколаївська,О150503,4800000000,25.0,(Братське-Григорівка)-Цибульки,,обласна
Миколаївська,О150504,4800000000,8.9,Дарниця-Костувате-Петрівка Перша,,обласна
Миколаївська,О150505,4800000000,15.1,Братське-Антонопіль,,обласна
Миколаївська,О150506,4800000000,16.9,Новоолександрівка-Мирне-Макарово,,обласна
Миколаївська,О150507,4800000000,15.5,Братське-Іванівка-Микільське,,обласна
Миколаївська,О150508,4800000000,11.4,Антонове-Шевченко-Ясна Поляна,,обласна
Миколаївська,О150509,4800000000,19.6,Обухівка-Мостове-Ганнівка,,обласна
Миколаївська,О150510,4800000000,3.4,П'ятихатки-Кам'яно-Костувате,,обласна
Миколаївська,О150511,4800000000,8.5,((Братське-Григорівка)-Цибульки)-Миролюбівка,,обласна
Миколаївська,О150512,4800000000,5.8,(Братське-Вознесенськ)-Петропавлівка,,обласна
Миколаївська,О150513,4800000000,4.3,(Братське-Григорівка)-Сергіївка,,обласна
Миколаївська,О150514,4800000000,36.5,Братське-Вознесенськ,,обласна
Миколаївська,О150601,4800000000,43.40000000000001,"Широколанівка-Березанка км 20,107 - км 43,793",,обласна
Миколаївська,О150602,4800000000,70.1,"Веселинове-Покровка-(Миколаїв-Берізки) км 0+000 - км 13+466, км 18+282 - км 32+200",,обласна
Миколаївська,О150603,4800000000,10.0,Веселинове-Федорівка,,обласна
Миколаївська,О150604,4800000000,13.3,Веселинове-Градівка,,обласна
Миколаївська,О150605,4800000000,3.6,(Миколаїв-Берізки)-залізн.ст.Колосівка,,обласна
Миколаївська,О150606,4800000000,1.3,(Веселинове-(Миколаїв-Берізки))-Варюшине,,обласна
Миколаївська,О150607,4800000000,1.1,(Веселинове-(Миколаїв-Берізки))-Луб'янка,,обласна
Миколаївська,О150608,4800000000,9.1,Широколанівка-Весняна Квітка,,обласна
Миколаївська,О150609,4800000000,11.3,(Миколаїв-Берізки)-Улянове,,обласна
Миколаївська,О150610,4800000000,12.9,(Одеса-Новий Буг)-Новосвітлівка,,обласна
Миколаївська,О150611,4800000000,2.0,(Одеса-Новий Буг)-Поділля,,обласна
Миколаївська,О150701,4800000000,26.7,Прибужани-Покровка,,обласна
Миколаївська,О150702,4800000000,4.0,Вознесенськ-Таборівка,,обласна
Миколаївська,О150703,4800000000,7.6,Вознесенськ-Бузьке,,обласна
Миколаївська,О150704,4800000000,5.3,(Братське-Вознесенськ)-Воронівка,,обласна
Миколаївська,О150705,4800000000,6.2,Дмитрівка-Бакай-Рюмівське,,обласна
Миколаївська,О150706,4800000000,17.0,Олександрівка-Трикрати-Актове,,обласна
Миколаївська,О150707,4800000000,2.1,(Благовіщенське-Миколаїв)-Білоусівка,,обласна
Миколаївська,О150708,4800000000,20.7,(Благовіщенське-Миколаїв)-Щербані,,обласна
Миколаївська,О150709,4800000000,26.8,(Одеса-Новий Буг)-Щербанівське-Новоукраїнка,,обласна
Миколаївська,О150710,4800000000,18.7,(Одеса-Новий Буг)-Тімірязєвка-Дмитрівка,,обласна
Миколаївська,О150711,4800000000,17.2,(Одеса-Новий Буг)-Нове,,обласна
Миколаївська,О150712,4800000000,5.3,(Одеса-Новий Буг)-Григорівське,,обласна
Миколаївська,О150801,4800000000,13.7,Врадіївка-Мала Врадіївка,,обласна
Миколаївська,О150802,4800000000,7.3,Врадіївка-Кумарі,,обласна
Миколаївська,О150803,4800000000,18.6,(Миколаїв-Берізки)-Сирове-Болгарка,,обласна
Миколаївська,О150804,4800000000,20.5,(Миколаїв-Берізки)-Филимонівка-Макієве,,обласна
Миколаївська,О150805,4800000000,21.0,(Кропивницький-Платонове)-Новомиколаївське-Ковалівка,,обласна
Миколаївська,О150806,4800000000,14.8,(Кропивницький-Платонове)-Краснівка-Шевченко,,обласна
Миколаївська,О150807,4800000000,11.7,Краснопіль-Новопавлівка-Великовеселе,,обласна
Миколаївська,О150808,4800000000,3.7,(Врадіївка-Мала Врадіївка)-Адамівка,,обласна
Миколаївська,О150809,4800000000,3.8,(Врадіївка-Мала Врадіївка)-Новомихайлівське,,обласна
Миколаївська,О150810,4800000000,7.6,Филимонівка-Тарасівка,,обласна
Миколаївська,О150811,4800000000,3.7,((Кропивницький-Платонове)-Ковалівка)-Доброжанівка -Марьянівка,,обласна
Миколаївська,О150901,4800000000,17.4,Доманівка-Новоселівка,,обласна
Миколаївська,О150902,4800000000,13.5,"(КПП""Тимкове""-Олександрівка)-Богданівка ",,обласна
Миколаївська,О150903,4800000000,1.9,"(КПП""Тимкове""-Олександрівка)-Акмечетські Ставки ",,обласна
Миколаївська,О150904,4800000000,15.0,Доманівка-Козубівка,,обласна
Миколаївська,О150905,4800000000,1.9,(Миколаїв-Берізки)-Суха Балка,,обласна
Миколаївська,О150906,4800000000,6.0,(Миколаїв-Берізки)-Олександрівка,,обласна
Миколаївська,О150907,4800000000,6.7,Маринівка-Щасливка,,обласна
Миколаївська,О151001,4800000000,10.9,Єланець-Півні,,обласна
Миколаївська,О151002,4800000000,23.7,(Єланець-Півні)-Ольгопіль,,обласна
Миколаївська,О151003,4800000000,6.6,Іванівка-Нововасилівка-Малодворянка,,обласна
Миколаївська,О151004,4800000000,20.1,((Н-24)-Арбузинка-Єланець-Нова Одеса)-Калинівка-Водяне-Семенівка,,обласна
Миколаївська,О151005,4800000000,10.8,(Одеса-Новий Буг)-Великосербулівка-Малосербулівка,,обласна
Миколаївська,О151006,4800000000,3.1,((Н-24)-Арбузинка-Єланець-Нова Одеса)-Маложенівка,,обласна
Миколаївська,О151007,4800000000,6.0,(Одеса-Новий Буг)-Велика Солона,,обласна
Миколаївська,О151008,4800000000,1.1,(Одеса-Новий Буг)-Малоукраїнка ,,обласна
Миколаївська,О151101,4800000000,79.19999999999999,"(Миколаїв-Херсон)-Любомирівка-Першотравневе-(Казанка-(Р-47)) 0,000 -  39,257",,обласна
Миколаївська,О151102,4800000000,0.5,((Миколаїв-Херсон)-Першотравневе)-Українка,,обласна
Миколаївська,О151103,4800000000,4.1,(Калинівка-Снігурівка)-Засілля,,обласна
Миколаївська,О151104,4800000000,21.9,Засілля-Киселівка-межа Херсонської області ,,обласна
Миколаївська,О151105,4800000000,0.3,((Калинівка-Снігурівка)-Засілля)-залізн.ст.Засілля,,обласна
Миколаївська,О151106,4800000000,24.8,(Одеса-Новоазовськ)-Первомайське до автодороги Засілля-Киселівка,,обласна
Миколаївська,О151107,4800000000,7.0,((Одеса-Новоазовськ)-Первомайське)-Зелений Гай-Оленівка,,обласна
Миколаївська,О151108,4800000000,3.0,(Одеса-Новоазовськ)-Миколаївське,,обласна
Миколаївська,О151109,4800000000,0.1,(Одеса-Новоазовськ)-Мирне,,обласна
Миколаївська,О151110,4800000000,1.0,(Одеса-Новоазовськ)-Полігон,,обласна
Миколаївська,О151111,4800000000,7.1,(Одеса-Новоазовськ)-Зоря,,обласна
Миколаївська,О151112,4800000000,1.2,((Одеса-Новоазовськ)-Первомайське)-Новомиколаївка,,обласна
Миколаївська,О151113,4800000000,1.2,(Дніпро-Миколаїв)-Горохівка,,обласна
Миколаївська,О151114,4800000000,7.2,(Дніпро-Миколаїв)-Грейгове,,обласна
Миколаївська,О151115,4800000000,1.0,(Дніпро-Миколаїв)-Калинівка,,обласна
Миколаївська,О151116,4800000000,0.4,(Дніпро-Миколаїв)-Воскресенське,,обласна
Миколаївська,О151117,4800000000,1.7,(Дніпро-Миколаїв)-Мішково-Погорілове,,обласна
Миколаївська,О151118,4800000000,10.8,(Олександрівка-Миколаїв)-Пересадівка-(Дніпро-Миколаїв),,обласна
Миколаївська,О151119,4800000000,5.7,(Олександрівка-Миколаїв)-Каравелове,,обласна
Миколаївська,О151120,4800000000,1.1,(Калинівка-Снігурівка)-Білозірка,,обласна
Миколаївська,О151121,4800000000,0.1,(Калинівка-Снігурівка)-Партизанське,,обласна
Миколаївська,О151122,4800000000,1.9,(Миколаїв-Херсон)-Галицинове,,обласна
Миколаївська,О151123,4800000000,4.2,Миколаївське-мікрорайон Кульбакине,,обласна
Миколаївська,О151124,4800000000,19.8,Миколаїв-Станіслав-Херсон,,обласна
Миколаївська,О151125,4800000000,4.0,Під'їзд до м.Миколаєва,,обласна
Миколаївська,О151201,4800000000,33.0,Казанка-Каширівка-Великофедорівка,,обласна
Миколаївська,О151202,4800000000,17.0,Казанка-залізн.ст.Казанка-Новоолександрівка,,обласна
Миколаївська,О151203,4800000000,18.0,Любомирівка-залізн.ст.Новоданилівка,,обласна
Миколаївська,О151204,4800000000,12.1,(Дніпро-Миколаїв)-Троянка,,обласна
Миколаївська,О151205,4800000000,11.1,(Дніпро-Миколаїв)-Новолазарівка-Покровка,,обласна
Миколаївська,О151206,4800000000,17.1,Суходілля-Лагодівка (через Скобелеве),,обласна
Миколаївська,О151207,4800000000,8.5,(Казанка-(Р-47))-Шевченкове,,обласна
Миколаївська,О151208,4800000000,23.0,(Казанка-(Р-47))-Володимирівка-Привілля-Зоря,,обласна
Миколаївська,О151209,4800000000,7.1,(Любомирівка-залізн.ст.Новоданилівка)-Білівка-Новоукраїнка,,обласна
Миколаївська,О151210,4800000000,5.5,(Любомирівка-залізн.ст.Новоданилівка)-Сергіївка,,обласна
Миколаївська,О151211,4800000000,2.5,(Любомирівка-залізн.ст.Новоданилівка)-Дмитрівка,,обласна
Миколаївська,О151301,4800000000,46.3,"Криве Озеро-Велика Мечетня-Кінецьпіль, км 0+000 - км 30,420",,обласна
Миколаївська,О151302,4800000000,13.6,Криве Озеро-Михалкове,,обласна
Миколаївська,О151303,4800000000,27.0,Криве Озеро-Тридуби-Голоскове,,обласна
Миколаївська,О151304,4800000000,17.9,(Київ-Одеса)-Курячі Лози-Тридуби-Секретарка,,обласна
Миколаївська,О151305,4800000000,1.7,(Київ-Одеса)-Очеретня,,обласна
Миколаївська,О151306,4800000000,14.3,Секретарка-Богачівка-Берізки,,обласна
Миколаївська,О151307,4800000000,8.8,(Київ-Одеса)-Красненьке-Голоскове,,обласна
Миколаївська,О151308,4800000000,1.8,(Криве Озеро-Кінецьпіль)-Гойдаї,,обласна
Миколаївська,О151402,4800000000,1.2,(Веселинове-Покровка-(Миколаїв-Берізки))-Шостаківська річкова пристань,,обласна
Миколаївська,О151403,4800000000,1.2,(Веселинове-Покровка-(Миколаїв-Берізки))-залізн.ст.Ясна Зоря,,обласна
Миколаївська,О151404,4800000000,6.0,(Веселинове-Покровка-(Миколаїв-Берізки))-Ковалівський меморіал ,,обласна
Миколаївська,О151405,4800000000,4.3,(Веселинове-Покровка-(Миколаїв-Берізки))-Трихати,,обласна
Миколаївська,О151406,4800000000,20.3,(Миколаїв-Берізки)-Зелений Гай-Ковалівка,,обласна
Миколаївська,О151407,4800000000,15.9,Корчине-Новоюр'ївка-Ольшанське ,,обласна
Миколаївська,О151408,4800000000,2.3,(Одеса-Новоазовськ)-Благодарівка,,обласна
Миколаївська,О151409,4800000000,1.2,(Одеса-Новоазовськ)-Крива Балка,,обласна
Миколаївська,О151410,4800000000,6.6,(Одеса-Новоазовськ)-Петрівка-Зелений Яр,,обласна
Миколаївська,О151411,4800000000,12.3,Зелене-Безводне-Чумаки,,обласна
Миколаївська,О151412,4800000000,8.392,"(Миколаїв-база відпочинку ""Чорноморка"")-Мала Корениха",,обласна
Миколаївська,О151413,4800000000,0.7,"((Миколаїв-база відпочинку ""Чорноморка"")-Мала Корениха)-Радісний Сад",,обласна
Миколаївська,О151414,4800000000,8.7,(Миколаїв-Берізки)-Петрово-Солониха,,обласна
Миколаївська,О151415,4800000000,21.0,Велика Корениха - Кам'янка,,обласна
Миколаївська,О151501,4800000000,14.4,Новий Буг-Вільне Запоріжжя,,обласна
Миколаївська,О151502,4800000000,31.4,Новий Буг-Новохристофорівка,,обласна
Миколаївська,О151503,4800000000,12.7,Новий Буг-Розанівка,,обласна
Миколаївська,О151504,4800000000,19.0,(Дніпро-Миколаїв)-Ганнівка,,обласна
Миколаївська,О151505,4800000000,1.8,(Дніпро-Миколаїв)-залізн.ст.Добровільський,,обласна
Миколаївська,О151506,4800000000,9.6,(Дніпро-Миколаїв)-Новомихайлівка,,обласна
Миколаївська,О151507,4800000000,17.4,(Одеса-Новий Буг)-Миролюбівка,,обласна
Миколаївська,О151508,4800000000,4.0,(Одеса-Новий Буг)-Новомиколаївка ,,обласна
Миколаївська,О151509,4800000000,1.4,(Лук'янівка-залізн.ст.Новополтавка)-Шевченкове,,обласна
Миколаївська,О151510,4800000000,5.4,Під'їзд до с. Пелагіївка,,обласна
Миколаївська,О151601,4800000000,29.2,Нова Одеса-Сухий Єланець-(Олександрівка-Миколаїв),,обласна
Миколаївська,О151602,4800000000,32.7,Сухий Єланець-Кандибине-(Благовіщенське-Миколаїв),,обласна
Миколаївська,О151604,4800000000,2.2,(Благовіщенське-Миколаїв)-Новоодеська річкова пристань,,обласна
Миколаївська,О151605,4800000000,1.1,(Благовіщенське-Миколаїв)-Троїцька паромна переправа,,обласна
Миколаївська,О151606,4800000000,19.9,((Н-24)-Арбузинка-Єланець-Нова Одеса)-Бузьке-(Олександрівка-Миколаїв),,обласна
Миколаївська,О151607,4800000000,3.9,(Олександрівка-Миколаїв)-Карлівка,,обласна
Миколаївська,О151608,4800000000,0.5,(Благовіщенське-Миколаїв)-Троїцьке,,обласна
Миколаївська,О151609,4800000000,2.7,(Благовіщенське-Миколаїв)-Новопетрівське ,,обласна
Миколаївська,О151610,4800000000,3.2,(Благовіщенське-Миколаїв)-Гур'ївка,,обласна
Миколаївська,О151611,4800000000,1.0,(Благовіщенське-Миколаїв)-Костянтинівка,,обласна
Миколаївська,О151612,4800000000,3.3,((Н-24)-Арбузинка-Єланець-Нова Одеса)-Новосафронівка,,обласна
Миколаївська,О151613,4800000000,6.7,((Н-24)-Арбузинка-Єланець-Нова Одеса)-Підлісне,,обласна
Миколаївська,О151614,4800000000,12.2,((Н-24)-Арбузинка-Єланець-Нова Одеса)-Димівське-Озерне,,обласна
Миколаївська,О151615,4800000000,2.6,(Нова Одеса-Сухий Єланець-(Олександрівка-Миколаїв))-Новошмідтівка,,обласна
Миколаївська,О151616,4800000000,7.7,Воронцівка-Островське-(Олександрівка-Миколаїв),,обласна
Миколаївська,О151617,4800000000,7.3,(Благовіщенське-Миколаїв)-Баловне  ,,обласна
Миколаївська,О151618,4800000000,5.067,(Благовіщенське-Миколаїв)-Матвіївка,,обласна
Миколаївська,О151701,4800000000,24.2,Очаків-Чорноморка-Осетрівка-Рівне,,обласна
Миколаївська,О151702,4800000000,22.6,(Нечаяне-Очаків)-Благодатне-Козирка,,обласна
Миколаївська,О151703,4800000000,23.8,(Нечаяне-Очаків)-Острівка-Червоне Парутине-Каталине,,обласна
Миколаївська,О151705,4800000000,1.5,"(Миколаїв-база відпочинку ""Чорноморка"")-Солончаки",,обласна
Миколаївська,О151801,4800000000,19.7,(Первомайськ-Новоукраїнка)-Благодатне  14+079 -19+635,,обласна
Миколаївська,О151802,4800000000,23.9,"Полтавка-Царедарівка 8,302 -23,988",,обласна
Миколаївська,О151803,4800000000,10.7,Первомайськ-межа району (на Ольшанку),,обласна
Миколаївська,О151804,4800000000,17.6,(Благовіщенське-Миколаїв)-Довга Пристань-Зелена Левада,,обласна
Миколаївська,О151805,4800000000,4.0,Первомайськ-Грушівка,,обласна
Миколаївська,О151806,4800000000,11.1,Кримка-залізн.ст.Кам'яний Міст,,обласна
Миколаївська,О151807,4800000000,24.3,Лукашівка-Станіславчик-Болеславчик,,обласна
Миколаївська,О151808,4800000000,11.0,(Кропивницький-Платонове)-Романова Балка-Львів,,обласна
Миколаївська,О151809,4800000000,5.2,Первомайськ-с-ще Кам'яний Міст,,обласна
Миколаївська,О151810,4800000000,3.6,"(КПП ""Тимкове""-Олександрівка)-Степківка",,обласна
Миколаївська,О151811,4800000000,2.3,(Первомайськ-Новоукраїнка)-залізн.ст.Підгородна,,обласна
Миколаївська,О151812,4800000000,12.5,(Первомайськ-Новоукраїнка)-Синюхін Брід-Станіславчик,,обласна
Миколаївська,О151813,4800000000,4.3,(Первомайськ-Новоукраїнка)-Тарасівка,,обласна
Миколаївська,О151814,4800000000,7.8,(Благовіщенське-Миколаїв)-Мічуріне-Підгір'я ,,обласна
Миколаївська,О151815,4800000000,6.0,(Благовіщенське-Миколаїв)-Чаусове Друге,,обласна
Миколаївська,О151901,4800000000,32.2,Снігурівка-Тамарине-Безіменне,,обласна
Миколаївська,О151902,4800000000,8.6,Снігурівка-Новопетрівка,,обласна
Миколаївська,О151904,4800000000,4.2,(Снігурівка-Безіменне)-Василівка-Івано-Кепине,,обласна
Миколаївська,О151905,4800000000,18.2,(Казанка-(Р-47))-Нововасилівка-Галаганівка,,обласна
Миколаївська,О151906,4800000000,25.0,Новопетрівка-Першотравневе-Гуляйгородок,,обласна
Миколаївська,О151907,4800000000,12.5,Широке-Червона Долина-Покровське,,обласна
Миколаївська,О151908,4800000000,4.4,(Казанка-(Р-47))-Афанасіївка,,обласна
Миколаївська,О151909,4800000000,3.0,(Казанка-(Р-47))-Новотимофіївка,,обласна
Миколаївська,О151910,4800000000,12.9,(Казанка-(Р-47))-Світла Дача,,обласна
Миколаївська,О151911,4800000000,5.9,(Казанка-(Р-47))-Кобзарці,,обласна
Миколаївська,С150101,4800000000,1.4,(Арбузинка-залізн.ст.Трикратне)-Шкуратове,,районна
Миколаївська,С150102,4800000000,4.8,(Арбузинка-залізн.ст.Трикратне)-Воля,,районна
Миколаївська,С150103,4800000000,8.0,(Арбузинка-залізн.ст.Трикратне)-Новий Ставок,,районна
Миколаївська,С150104,4800000000,0.9,(Новогригорівка-залізн.ст.Кавуни)-Новомихайлівка,,районна
Миколаївська,С150105,4800000000,3.3,(Благовіщенське-Миколаїв)-Булацелове,,районна
Миколаївська,С150106,4800000000,4.0,(Благовіщенське-Миколаїв)-Панкратове,,районна
Миколаївська,С150107,4800000000,2.9,(Благовіщенське-Миколаїв)-Бузьке,,районна
Миколаївська,С150108,4800000000,4.7,(Благовіщенське-Миколаїв)-Зелена Поляна-Виноградий Яр,,районна
Миколаївська,С150109,4800000000,6.2,(Новогригорівка-залізн.ст.Кавуни)-Новокрасне,,районна
Миколаївська,С150110,4800000000,9.0,Благодатне-Садове,,районна
Миколаївська,С150201,4800000000,1.7,(Лук’янівка-залізн.ст.Новополтавка)-Архангельське,,районна
Миколаївська,С150202,4800000000,7.2,(Олександрівка-Миколаїв)-Новопетрівка,,районна
Миколаївська,С150203,4800000000,4.4,(Олександрівка-Миколаїв)-Михайлівка,,районна
Миколаївська,С150204,4800000000,2.5,(Дніпро-Миколаїв)-Андріївка,,районна
Миколаївська,С150205,4800000000,4.4,((Н-11)-Новоолександрівка)-Нове Життя,,районна
Миколаївська,С150206,4800000000,7.4,((Н-11)-Новоолександрівка)-Перемога,,районна
Миколаївська,С150207,4800000000,7.0,(Піски-Новопавлівка)-Новобірзулівка,,районна
Миколаївська,С150208,4800000000,1.4,((Н-14)-Привільне)-Свобода,,районна
Миколаївська,С150209,4800000000,1.1,((Н-11)-Новоолександрівка)-Лоцкинський ХПП,,районна
Миколаївська,С150301,4800000000,3.0,(Широколанівка-Березанка)-Червоний Поділ,,районна
Миколаївська,С150302,4800000000,5.0,(Широколанівка-Березанка)-Журівка,,районна
Миколаївська,С150303,4800000000,2.6,(Широколанівка-Березанка)-Богданівка,,районна
Миколаївська,С150304,4800000000,1.4,(Широколанівка-Березанка)-Ганнівка,,районна
Миколаївська,С150305,4800000000,3.6,(Одеса-Новоазовськ)-Глибоке,,районна
Миколаївська,С150306,4800000000,0.9,(Одеса-Новоазовськ)-Виноградне,,районна
Миколаївська,С150307,4800000000,5.6,((Одеса-Новоазовськ)-Данилівка)-Тронка,,районна
Миколаївська,С150308,4800000000,2.5,((М-14)-Андрієво-Зоринська пристань)-Яблуня,,районна
Миколаївська,С150309,4800000000,2.7,((М-14)-Андрієво-Зоринська пристань)-Андрієво-Зорине,,районна
Миколаївська,С150310,4800000000,0.8,((М-14)-Андрієво Зоринська Пристань)-Шмідтівка,,районна
Миколаївська,С150311,4800000000,5.1,(Прогресівка-(Одеса-Новоазовськ))-Люблине,,районна
Миколаївська,С150312,4800000000,3.1,(Прогресівка-(Одеса-Новоазовськ))-Крутоярка,,районна
Миколаївська,С150313,4800000000,5.2,(Прогресівка-(Одеса-Новоазовськ))-Новопетрівка,,районна
Миколаївська,С150314,4800000000,5.4,Рибаківка-Лугове,,районна
Миколаївська,С150315,4800000000,6.1,Калабатине-Суходіл,,районна
Миколаївська,С150401,4800000000,4.7,(Червоний Став-(Казанка-(Р-47)))-Червонопілля,,районна
Миколаївська,С150402,4800000000,2.9,(Червоний Став-(Казанка-(Р-47)))-Тетянівка,,районна
Миколаївська,С150403,4800000000,2.5,(Маліївка-Новоочаків)-Петропавлівка,,районна
Миколаївська,С150404,4800000000,1.6,(Баштанка-Березнегувате)-Одрадне,,районна
Миколаївська,С150406,4800000000,6.1,(Березнегувате-Давидів Брід)-Калачеве-Соколівка,,районна
Миколаївська,С150407,4800000000,1.4,((Березнегувате-Давидів Брід)-Калачеве)-Маломихайлівське,,районна
Миколаївська,С150408,4800000000,2.5,(Березнегувате-Давидів Брід)-Калинівка,,районна
Миколаївська,С150501,4800000000,0.1,(Братське-Григорівка)-Людмилівський БПП,,районна
Миколаївська,С150502,4800000000,2.4,(Братське-Григорівка)-Прищепівка,,районна
Миколаївська,С150503,4800000000,0.8,(Братське-Антонопіль)-Кам'януватка,,районна
Миколаївська,С150504,4800000000,2.4,(Братське-Антонопіль)-Соколівка,,районна
Миколаївська,С150505,4800000000,3.0,(Братське-Вознесенськ)-Павлодарівка,,районна
Миколаївська,С150506,4800000000,1.4,(Братське-Вознесенськ)-Єгорівка,,районна
